,Type,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,VideoAmt,PhotoAmt,AdoptionSpeed,Magnitude,Score,Count,IsMixed
0,2,3,299,0,1,1,7,0,1,1,2,2,2,1,1,100,41326,0,1.0,2,2.4,0.3,342,0
1,2,1,265,0,1,1,2,0,2,2,3,3,3,1,1,0,41401,0,2.0,0,0.7,-0.2,1258,0
2,1,1,307,0,1,2,7,0,2,2,1,1,2,1,1,0,41326,0,7.0,3,3.7,0.2,5927,1
3,1,4,307,0,2,1,2,0,2,1,1,1,2,1,1,150,41401,0,8.0,2,0.9,0.9,5927,1
4,1,1,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41326,0,3.0,2,3.7,0.6,5927,1
5,2,3,266,0,2,5,6,0,2,1,2,2,2,1,1,0,41326,0,2.0,2,0.2,0.0,3634,0
6,2,12,264,264,1,1,0,0,2,3,2,2,3,1,1,300,41326,0,3.0,1,0.5,0.2,296,1
7,1,0,307,0,2,1,2,7,2,1,2,2,2,1,6,0,41326,0,9.0,3,0.9,0.1,5927,1
8,2,2,265,0,2,6,0,0,2,2,2,2,2,1,1,0,41326,0,6.0,1,0.5,0.1,1258,0
9,2,12,265,0,2,1,7,0,2,2,3,3,3,1,1,0,41326,0,2.0,4,1.1,0.2,1258,0
10,1,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,41401,0,7.0,1,0.8,0.8,5927,1
11,2,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,41326,0,2.0,1,4.4,0.3,296,0
12,1,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,0,1.0,2,2.9,0.4,5927,1
13,2,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,0,1.0,1,2.6,0.4,1258,0
14,1,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,0,2.0,2,3.4,0.1,5927,1
15,1,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,0,2.0,4,1.8,0.6,162,1
16,2,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,0,1.0,3,0.9,0.9,3634,0
17,1,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,0,2.0,4,1.0,0.3,5927,1
18,1,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,0,8.0,2,1.8,0.1,5927,1
19,2,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,0,1.0,4,0.0,0.0,3634,0
20,1,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,0,7.0,2,2.2,0.3,5927,1
21,1,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,0,5.0,4,0.6,0.6,5927,1
22,2,0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,0,0.0,4,1.1,0.5,3,0
23,1,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,0,0.0,4,3.4,0.2,5927,1
24,2,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,0,19.0,1,0.8,0.8,3634,0
25,2,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,41326,0,3.0,2,3.1,0.2,221,1
26,2,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,41401,0,11.0,1,0.8,0.8,221,1
27,2,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,0,2.0,2,0.0,0.0,3634,0
28,1,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,41326,0,0.0,3,0.6,0.3,88,0
29,2,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41327,0,1.0,2,1.3,0.2,3634,0
30,1,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,41326,0,5.0,3,1.9,0.3,190,1
31,2,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41361,0,1.0,1,0.0,0.0,3634,0
32,1,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,41326,0,1.0,4,3.7,0.4,5927,1
33,2,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,41326,0,7.0,3,3.1,0.6,3634,0
34,2,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,41327,0,5.0,4,0.0,0.0,3634,0
35,2,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,41326,0,5.0,1,0.0,0.0,296,0
36,2,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,41326,0,2.0,4,0.1,0.0,1258,1
37,2,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,41326,0,3.0,1,0.0,0.0,1258,0
38,1,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41336,0,4.0,1,3.0,0.4,5927,1
39,1,12,307,0,1,5,0,0,2,2,1,1,2,1,1,0,41326,0,1.0,3,0.9,0.9,5927,1
40,2,2,265,266,2,7,0,0,2,2,2,1,2,1,1,0,41326,0,13.0,3,3.7,0.0,1258,1
41,2,1,266,0,3,1,2,7,1,1,2,2,2,1,3,0,41326,0,1.0,2,0.8,0.8,3634,0
42,2,24,292,285,2,7,0,0,2,3,3,3,3,2,6,0,41326,0,1.0,1,2.6,0.1,264,1
43,1,5,128,307,1,7,0,0,2,1,1,1,1,1,1,0,41401,0,6.0,3,1.7,0.5,64,1
44,1,12,307,0,1,2,7,0,2,2,2,1,1,1,1,0,41336,0,2.0,4,0.9,0.9,5927,1
45,1,4,307,0,1,1,7,0,2,1,2,2,2,1,2,0,41326,0,11.0,4,0.8,0.1,5927,1
46,2,5,265,0,1,4,7,0,1,3,1,1,2,1,1,0,41326,0,13.0,3,2.8,0.3,1258,0
47,1,72,307,0,2,2,7,0,2,1,1,1,1,1,1,0,41326,0,3.0,4,2.2,0.4,5927,1
48,1,1,307,0,3,1,2,0,2,1,3,3,2,1,9,0,41326,0,3.0,3,1.5,0.3,5927,1
49,2,60,264,0,1,1,2,7,3,3,1,1,1,1,1,0,41326,0,3.0,2,2.5,0.1,296,0
50,1,1,307,141,2,1,0,0,2,2,2,1,1,1,2,0,41326,0,13.0,3,0.8,0.1,5927,1
51,2,6,266,0,1,1,2,7,2,1,1,1,1,1,1,100,41401,0,1.0,4,0.8,0.8,3634,0
52,1,2,307,0,1,2,7,0,2,1,1,1,2,1,1,0,41326,0,3.0,3,1.2,0.0,5927,1
53,1,12,307,307,2,2,0,0,2,2,1,1,1,1,2,0,41326,0,5.0,4,4.0,0.1,5927,1
54,1,3,307,0,2,2,7,0,1,1,3,3,3,2,1,0,41326,0,0.0,3,2.4,0.2,5927,1
55,2,3,265,0,3,4,6,7,1,2,1,1,2,1,2,0,41401,0,15.0,2,1.9,0.9,1258,0
56,2,5,266,0,1,1,7,0,2,1,2,1,2,1,1,30,41326,0,4.0,4,1.9,0.4,3634,0
57,1,24,307,0,2,5,0,0,2,2,1,1,1,1,1,0,41326,0,2.0,2,0.9,0.9,5927,1
58,1,4,307,0,1,5,0,0,3,2,2,2,2,1,1,0,41326,0,3.0,1,1.4,0.4,5927,1
59,2,2,243,0,3,1,6,7,1,1,3,3,3,1,6,0,41401,0,1.0,4,0.2,0.2,94,0
60,2,1,266,0,2,4,0,0,2,1,2,2,2,1,1,0,41326,0,5.0,1,0.4,0.0,3634,0
61,1,9,307,0,1,2,5,0,2,1,1,1,3,1,1,0,41327,0,2.0,4,4.2,0.3,5927,1
62,1,60,307,0,2,2,5,0,2,1,2,2,1,1,1,0,41326,0,2.0,4,2.0,-0.1,5927,1
63,1,2,307,0,1,1,2,0,2,2,2,2,2,1,1,0,41327,0,5.0,2,1.5,0.0,5927,1
64,1,2,213,307,3,1,3,7,2,3,1,1,2,1,7,0,41326,0,21.0,3,2.4,0.0,89,1
65,1,48,205,0,2,2,5,0,2,2,1,1,2,1,1,0,41326,0,5.0,1,0.4,0.0,190,0
66,2,3,266,0,2,2,0,0,2,1,2,2,2,1,1,0,41324,0,1.0,4,0.9,0.9,3634,0
67,2,4,266,0,1,1,3,0,1,1,2,1,2,1,2,0,41401,0,1.0,2,3.0,0.7,3634,0
68,2,9,266,0,2,2,7,0,2,1,2,2,2,1,1,0,41401,0,1.0,2,2.0,0.1,3634,0
69,1,62,307,0,1,1,3,6,2,2,1,1,1,1,1,0,41401,0,3.0,4,2.2,0.7,5927,1
70,1,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,41326,0,1.0,4,1.7,0.5,5927,1
